model,episode,timeframes,totalrewards,success
trial_95,1,1000,4208,1
trial_95,2,1000,4202.5,1
trial_95,3,1000,4235.5,1
trial_95,4,1000,4164,1
trial_95,5,1000,4224.5,1
trial_95,6,1000,4164,1
trial_95,7,1000,4290.5,1
trial_95,8,1000,4136.5,1
trial_95,9,1000,4230,1
trial_95,10,1000,4241,1
trial_95,11,1000,4268.5,1
trial_95,12,1000,4224.5,1
trial_95,13,1000,4202.5,1
trial_95,14,1000,4230,1
trial_95,15,1000,4213.5,1
trial_95,16,1000,4213.5,1
trial_95,17,1000,4318,1
trial_95,18,1000,4219,1
trial_95,19,1000,4268.5,1
trial_95,20,1000,4268.5,1
trial_95,21,1000,4257.5,1
trial_95,22,1000,4208,1
trial_95,23,1000,4263,1
trial_95,24,1000,4290.5,1
trial_95,25,1000,4208,1
trial_95,26,1000,4285,1
trial_95,27,1000,4219,1
trial_95,28,1000,4241,1
trial_95,29,1000,4219,1
trial_95,30,1000,4208,1
trial_95,31,1000,4213.5,1
trial_95,32,1000,4180.5,1
trial_95,33,1000,4296,1
trial_95,34,1000,4235.5,1
trial_95,35,1000,4323.5,1
trial_95,36,1000,4219,1
trial_95,37,1000,4274,1
trial_95,38,1000,4175,1
trial_95,39,1000,4219,1
trial_95,40,1000,4241,1
trial_95,41,1000,4263,1
trial_95,42,1000,4219,1
trial_95,43,1000,4186,1
trial_95,44,1000,4197,1
trial_95,45,1000,4219,1
trial_95,46,1000,4246.5,1
trial_95,47,1000,4197,1
trial_95,48,1000,4246.5,1
trial_95,49,1000,4219,1
trial_95,50,1000,4268.5,1
trial_95,51,1000,4241,1
trial_95,52,1000,4202.5,1
trial_95,53,1000,4202.5,1
trial_95,54,1000,4252,1
trial_95,55,1000,4208,1
trial_95,56,1000,4224.5,1
trial_95,57,1000,4252,1
trial_95,58,1000,4224.5,1
trial_95,59,1000,4230,1
trial_95,60,1000,4180.5,1
trial_95,61,1000,4164,1
trial_95,62,1000,4235.5,1
trial_95,63,1000,4241,1
trial_95,64,1000,4219,1
trial_95,65,1000,4191.5,1
trial_95,66,7,-175.5,0
trial_95,67,1000,4219,1
trial_95,68,1000,4252,1
trial_95,69,1000,4208,1
trial_95,70,1000,4180.5,1
trial_95,71,1000,4241,1
trial_95,72,1000,4191.5,1
trial_95,73,1000,4213.5,1
trial_95,74,1000,4235.5,1
trial_95,75,1000,4246.5,1
trial_95,76,1000,4241,1
trial_95,77,1000,4164,1
trial_95,78,1000,4252,1
trial_95,79,1000,4169.5,1
trial_95,80,1000,4164,1
trial_95,81,1000,4246.5,1
trial_95,82,1000,4301.5,1
trial_95,83,1000,4202.5,1
trial_95,84,1000,4202.5,1
trial_95,85,1000,4274,1
trial_95,86,1000,4263,1
trial_95,87,1000,4219,1
trial_95,88,1000,4224.5,1
trial_95,89,1000,4224.5,1
trial_95,90,1000,4186,1
trial_95,91,1000,4235.5,1
trial_95,92,1000,4175,1
trial_95,93,23,-167,0
trial_95,94,1000,4263,1
trial_95,95,1000,4186,1
trial_95,96,1000,4186,1
trial_95,97,1000,4241,1
trial_95,98,1000,4142,1
trial_95,99,1000,4219,1
trial_95,100,1000,4219,1
trial_80,1,1000,3949.5,1
trial_80,2,1000,3526,1
trial_80,3,1000,3768,1
trial_80,4,1000,3317,1
trial_80,5,1000,3564.5,1
trial_80,6,1000,3465.5,1
trial_80,7,1000,3394,1
trial_80,8,1000,3097,1
trial_80,9,1000,3152,1
trial_80,10,1000,3515,1
trial_80,11,1000,3548,1
trial_80,12,1000,3454.5,1
trial_80,13,1000,3399.5,1
trial_80,14,1000,3663.5,1
trial_80,15,1000,3498.5,1
trial_80,16,1000,3388.5,1
trial_80,17,1000,3366.5,1
trial_80,18,1000,3586.5,1
trial_80,19,1000,3097,1
trial_80,20,1000,3482,1
trial_80,21,6,-175,0
trial_80,22,1000,3119,1
trial_80,23,1000,3080.5,1
trial_80,24,1000,3916.5,1
trial_80,25,1000,3146.5,1
trial_80,26,1000,3179.5,1
trial_80,27,1000,3960.5,1
trial_80,28,1000,3498.5,1
trial_80,29,1000,3086,1
trial_80,30,1000,3735,1
trial_80,31,1000,3108,1
trial_80,32,1000,3878,1
trial_80,33,54,37.5,0
trial_80,34,1000,3058.5,1
trial_80,35,1000,3119,1
trial_80,36,1000,3366.5,1
trial_80,37,1000,3108,1
trial_80,38,1000,3779,1
trial_80,39,1000,3108,1
trial_80,40,1000,3482,1
trial_80,41,1000,3245.5,1
trial_80,42,1000,3465.5,1
trial_80,43,1000,3570,1
trial_80,44,1000,3262,1
trial_80,45,1000,3493,1
trial_80,46,1000,3080.5,1
trial_80,47,1000,3520.5,1
trial_80,48,1000,3361,1
trial_80,49,1000,3938.5,1
trial_80,50,1000,3790,1
trial_80,51,1000,3718.5,1
trial_80,52,1000,3168.5,1
trial_80,53,1000,3295,1
trial_80,54,1000,3168.5,1
trial_80,55,1000,3196,1
trial_80,56,1000,3333.5,1
trial_80,57,1000,3674.5,1
trial_80,58,1000,3427,1
trial_80,59,1000,3597.5,1
trial_80,60,1000,3416,1
trial_80,61,1000,3405,1
trial_80,62,1000,3355.5,1
trial_80,63,1000,3432.5,1
trial_80,64,1000,3652.5,1
trial_80,65,1000,3273,1
trial_80,66,1000,3520.5,1
trial_80,67,1000,3542.5,1
trial_80,68,1000,3823,1
trial_80,69,1000,3394,1
trial_80,70,1000,3152,1
trial_80,71,1000,3080.5,1
trial_80,72,1000,3608.5,1
trial_80,73,1000,3680,1
trial_80,74,1000,3097,1
trial_80,75,1000,3146.5,1
trial_80,76,1000,3416,1
trial_80,77,1000,3377.5,1
trial_80,78,1000,3119,1
trial_80,79,1000,3971.5,1
trial_80,80,1000,3163,1
trial_80,81,1000,3361,1
trial_80,82,1000,3993.5,1
trial_80,83,1000,3515,1
trial_80,84,1000,2882.5,1
trial_80,85,1000,3146.5,1
trial_80,86,1000,3174,1
trial_80,87,1000,3190.5,1
trial_80,88,1000,3465.5,1
trial_80,89,1000,3476.5,1
trial_80,90,1000,3465.5,1
trial_80,91,1000,3201.5,1
trial_80,92,1000,3619.5,1
trial_80,93,1000,3102.5,1
trial_80,94,1000,3020,1
trial_80,95,1000,3570,1
trial_80,96,7,-170,0
trial_80,97,1000,3416,1
trial_80,98,1000,3179.5,1
trial_80,99,26,-212.5,0
trial_80,100,1000,3135.5,1
trial_65,1,447,1243.5,0
trial_65,2,258,452.5,0
trial_65,3,79,-2.5,0
trial_65,4,195,500.5,0
trial_65,5,549,1385,0
trial_65,6,353,1197,0
trial_65,7,379,1299.5,0
trial_65,8,115,111.5,0
trial_65,9,121,218.5,0
trial_65,10,156,393.5,0
trial_65,11,213,392.5,0
trial_65,12,9,-171,0
trial_65,13,198,449.5,0
trial_65,14,257,761,0
trial_65,15,309,1043,0
trial_65,16,381,1271,0
trial_65,17,195,467.5,0
trial_65,18,87,43,0
trial_65,19,22,-100.5,0
trial_65,20,428,1198,0
trial_65,21,8,-170.5,0
trial_65,22,33,-100.5,0
trial_65,23,26,-113.5,0
trial_65,24,585,1653,0
trial_65,25,54,-50.5,0
trial_65,26,35,-101.5,0
trial_65,27,285,912,0
trial_65,28,135,277.5,0
trial_65,29,228,544.5,0
trial_65,30,413,1024,0
trial_65,31,353,1202.5,0
trial_65,32,364,905.5,0
trial_65,33,62,-54.5,0
trial_65,34,134,250.5,0
trial_65,35,8,-165,0
trial_65,36,48,-53,0
trial_65,37,31,-94,0
trial_65,38,39,-70.5,0
trial_65,39,13,-167.5,0
trial_65,40,46,-46.5,0
trial_65,41,238,671.5,0
trial_65,42,307,1060.5,0
trial_65,43,45,-2,0
trial_65,44,182,386,0
trial_65,45,199,465.5,0
trial_65,46,8,-170.5,0
trial_65,47,32,-67,0
trial_65,48,250,748,0
trial_65,49,442,1350.5,0
trial_65,50,356,1217.5,0
trial_65,51,18,-131.5,0
trial_65,52,83,17.5,0
trial_65,53,90,3,0
trial_65,54,369,919.5,0
trial_65,55,19,-137.5,0
trial_65,56,10,-171.5,0
trial_65,57,863,2559,0
trial_65,58,415,1430,0
trial_65,59,80,35.5,0
trial_65,60,26,-102.5,0
trial_65,61,18,-131.5,0
trial_65,62,48,-58.5,0
trial_65,63,371,1270.5,0
trial_65,64,30,-71.5,0
trial_65,65,135,255.5,0
trial_65,66,149,369.5,0
trial_65,67,208,235.5,0
trial_65,68,131,301.5,0
trial_65,69,53,-226,0
trial_65,70,50,-224.5,0
trial_65,71,109,131,0
trial_65,72,23,-117.5,0
trial_65,73,96,82.5,0
trial_65,74,126,73,0
trial_65,75,182,303.5,0
trial_65,76,50,-224.5,0
trial_65,77,281,721.5,0
trial_65,78,135,145.5,0
trial_65,79,77,-29,0
trial_65,80,81,46,0
trial_65,81,46,-46.5,0
trial_65,82,188,361,0
trial_65,83,854,2519.5,0
trial_65,84,370,897,0
trial_65,85,98,43,0
trial_65,86,368,925.5,0
trial_65,87,327,1061.5,0
trial_65,88,208,285,0
trial_65,89,38,-48,0
trial_65,90,760,2022,0
trial_65,91,31,-121.5,0
trial_65,92,494,1198,0
trial_65,93,425,1089.5,0
trial_65,94,246,717,0
trial_65,95,377,1289.5,0
trial_65,96,383,1308.5,0
trial_65,97,194,490,0
trial_65,98,102,123.5,0
trial_65,99,14,-135,0
trial_65,100,125,205.5,0
trial_95,101,1000,4246.5,1
trial_95,102,1000,4257.5,1
trial_95,103,1000,4224.5,1
trial_95,104,1000,4263.0,1
trial_95,105,1000,4241.0,1
trial_95,106,1000,4175.0,1
trial_95,107,1000,4158.5,1
trial_95,108,1000,4230.0,1
trial_95,109,1000,4202.5,1
trial_95,110,1000,4169.5,1
trial_95,111,1000,4219.0,1
trial_95,112,1000,4230.0,1
trial_95,113,1000,4180.5,1
trial_95,114,1000,4252.0,1
trial_95,115,1000,4241.0,1
trial_95,116,1000,4191.5,1
trial_95,117,1000,4241.0,1
trial_95,118,1000,4202.5,1
trial_95,119,1000,4219.0,1
trial_95,120,1000,4175.0,1
trial_95,121,1000,4279.5,1
trial_95,122,1000,4213.5,1
trial_95,123,1000,4219.0,1
trial_95,124,1000,4164.0,1
trial_95,125,1000,4191.5,1
trial_95,126,1000,4219.0,1
trial_95,127,1000,4268.5,1
trial_95,128,1000,4202.5,1
trial_95,129,1000,4257.5,1
trial_95,130,1000,4219.0,1
trial_95,131,1000,4224.5,1
trial_95,132,1000,4301.5,1
trial_95,133,1000,4274.0,1
trial_95,134,1000,4219.0,1
trial_95,135,1000,4252.0,1
trial_95,136,1000,4241.0,1
trial_95,137,1000,4202.5,1
trial_95,138,8,-170.5,0
trial_95,139,1000,4263.0,1
trial_95,140,1000,4263.0,1
trial_95,141,1000,4257.5,1
trial_95,142,1000,4219.0,1
trial_95,143,1000,4224.5,1
trial_95,144,1000,4191.5,1
trial_95,145,1000,4186.0,1
trial_95,146,1000,4186.0,1
trial_95,147,1000,4186.0,1
trial_95,148,1000,4235.5,1
trial_95,149,1000,4241.0,1
trial_95,150,1000,4219.0,1
trial_95,151,1000,4208.0,1
trial_95,152,1000,4224.5,1
trial_95,153,1000,4241.0,1
trial_95,154,1000,4230.0,1
trial_95,155,1000,4230.0,1
trial_95,156,1000,4213.5,1
trial_95,157,1000,4235.5,1
trial_95,158,1000,4246.5,1
trial_95,159,1000,4213.5,1
trial_95,160,1000,4164.0,1
trial_95,161,1000,4246.5,1
trial_95,162,1000,4268.5,1
trial_95,163,1000,4246.5,1
trial_95,164,1000,4202.5,1
trial_95,165,1000,4241.0,1
trial_95,166,1000,4186.0,1
trial_95,167,1000,4224.5,1
trial_95,168,1000,4252.0,1
trial_95,169,1000,4202.5,1
trial_95,170,1000,4235.5,1
trial_95,171,1000,4257.5,1
trial_95,172,1000,4186.0,1
trial_95,173,1000,4202.5,1
trial_95,174,1000,4224.5,1
trial_95,175,1000,4246.5,1
trial_95,176,1000,4197.0,1
trial_95,177,1000,4252.0,1
trial_95,178,1000,4180.5,1
trial_95,179,1000,4246.5,1
trial_95,180,1000,4252.0,1
trial_95,181,1000,4197.0,1
trial_95,182,1000,4307.0,1
trial_95,183,1000,4235.5,1
trial_95,184,1000,4263.0,1
trial_95,185,1000,4191.5,1
trial_95,186,1000,4219.0,1
trial_95,187,1000,4246.5,1
trial_95,188,1000,4224.5,1
trial_95,189,1000,4224.5,1
trial_95,190,1000,4235.5,1
trial_95,191,1000,4224.5,1
trial_95,192,1000,4268.5,1
trial_95,193,1000,4131.0,1
trial_95,194,1000,4235.5,1
trial_95,195,1000,4241.0,1
trial_95,196,1000,4257.5,1
trial_95,197,1000,4224.5,1
trial_95,198,1000,4252.0,1
trial_95,199,1000,4246.5,1
trial_95,200,1000,4180.5,1
trial_80,101,1000,3493.0,1
trial_80,102,1000,3108.0,1
trial_80,103,1000,3311.5,1
trial_80,104,1000,3487.5,1
trial_80,105,1000,3465.5,1
trial_80,106,1000,3636.0,1
trial_80,107,1000,3135.5,1
trial_80,108,1000,3845.0,1
trial_80,109,1000,3394.0,1
trial_80,110,1000,3757.0,1
trial_80,111,1000,3674.5,1
trial_80,112,1000,2981.5,1
trial_80,113,1000,3416.0,1
trial_80,114,1000,3201.5,1
trial_80,115,1000,3443.5,1
trial_80,116,1000,3405.0,1
trial_80,117,1000,3097.0,1
trial_80,118,1000,3328.0,1
trial_80,119,1000,4153.0,1
trial_80,120,1000,3482.0,1
trial_80,121,1000,3245.5,1
trial_80,122,1000,3762.5,1
trial_80,123,1000,3036.5,1
trial_80,124,1000,3300.5,1
trial_80,125,1000,3394.0,1
trial_80,126,1000,3493.0,1
trial_80,127,1000,3372.0,1
trial_80,128,1000,3168.5,1
trial_80,129,1000,3438.0,1
trial_80,130,8,-170.5,0
trial_80,131,1000,3476.5,1
trial_80,132,1000,3405.0,1
trial_80,133,1000,3388.5,1
trial_80,134,1000,3124.5,1
trial_80,135,1000,3240.0,1
trial_80,136,1000,3097.0,1
trial_80,137,1000,3273.0,1
trial_80,138,1000,3933.0,1
trial_80,139,1000,3570.0,1
trial_80,140,1000,3482.0,1
trial_80,141,1000,3031.0,1
trial_80,142,1000,3427.0,1
trial_80,143,1000,3196.0,1
trial_80,144,1000,3130.0,1
trial_80,145,1000,3141.0,1
trial_80,146,1000,3174.0,1
trial_80,147,1000,3542.5,1
trial_80,148,1000,3174.0,1
trial_80,149,1000,3113.5,1
trial_80,150,1000,3526.0,1
trial_80,151,1000,3328.0,1
trial_80,152,1000,3366.5,1
trial_80,153,1000,3064.0,1
trial_80,154,1000,3157.5,1
trial_80,155,1000,3471.0,1
trial_80,156,1000,3141.0,1
trial_80,157,1000,3157.5,1
trial_80,158,1000,3328.0,1
trial_80,159,1000,3135.5,1
trial_80,160,1000,3548.0,1
trial_80,161,1000,3652.5,1
trial_80,162,1000,3944.0,1
trial_80,163,1000,3069.5,1
trial_80,164,1000,3190.5,1
trial_80,165,1000,3157.5,1
trial_80,166,1000,3740.5,1
trial_80,167,1000,3520.5,1
trial_80,168,1000,3289.5,1
trial_80,169,1000,3471.0,1
trial_80,170,1000,3614.0,1
trial_80,171,1000,3344.5,1
trial_80,172,1000,3218.0,1
trial_80,173,1000,3586.5,1
trial_80,174,1000,3817.5,1
trial_80,175,1000,3647.0,1
trial_80,176,1000,3333.5,1
trial_80,177,1000,3157.5,1
trial_80,178,1000,3823.0,1
trial_80,179,1000,3636.0,1
trial_80,180,1000,3058.5,1
trial_80,181,1000,3361.0,1
trial_80,182,1000,3091.5,1
trial_80,183,1000,3091.5,1
trial_80,184,1000,3108.0,1
trial_80,185,1000,3262.0,1
trial_80,186,1000,3520.5,1
trial_80,187,9,-165.5,0
trial_80,188,1000,3916.5,1
trial_80,189,1000,3036.5,1
trial_80,190,1000,3278.5,1
trial_80,191,1000,3146.5,1
trial_80,192,1000,3658.0,1
trial_80,193,1000,3372.0,1
trial_80,194,1000,3922.0,1
trial_80,195,1000,3471.0,1
trial_80,196,1000,3113.5,1
trial_80,197,1000,3493.0,1
trial_80,198,1000,3531.5,1
trial_80,199,1000,3498.5,1
trial_80,200,1000,3366.5,1
